nombre,porciones,producto,tiempo_preparación,nombre,cantidad
Saborin Oreo,9,Saborin Oreo,60,Galleta Oreo,12pz
,,,,Agua,1lt
,,,,Azucar,25g
,,,,Leche en polvo,40g
,,,,Bolsa saborin,9pz
Saborin Mazapan,9,Saborin Mazapan,60,Mazapan,6pz
,,,,Agua,1lt
,,,,Azucar,25g
,,,,Leche en polvo,32g
,,,,Bolsa saborin,9pz
Saborin Coco,9,Saborin Coco,60,Coco,250g
,,,,Agua,1lt
,,,,Azucar,25g
,,,,Leche en polvo,40g
,,,,Bolsa saborin,9pz
Saborin Mamut,9,Saborin Mamut,60,Mamut,10pz
,,,,Agua,1lt
,,,,Azucar,25g
,,,,Leche en polvo,40g
,,,,Bolsa saborin,9pz
Napolitano,10,Napolitano,120,Huevo,12pz
,,,,Lechera,1.5pz
,,,,Carnetion ,1.5pzote
,,,,Agua,1lt
Carlota Limon,20,Carlota Limon,60,Lechera,1pz
,,,,Carnetion ,1pz
,,,,Philadelphia,1pz
,,,,Galleta Maria,2pz
,,,,Tapa,20pz
,,,,Vasito,20pz
,,,,Limon,12pz
Carlota Mango,24,Carlota Mango,60,Lechera,1pz
,,,,Carnetion ,1pz
,,,,Philadelphia,1pz
,,,,Galleta Maria,2pz
,,,,Tapa,24pz
,,,,Vasito,24pz
,,,,Mango,3pz
,,,,Limon,3pz
Manguitos,15,Manguitos,30,Manguitos,1kg
,,,,Bolsa gomita,15pz
Panditas,15,Panditas,30,Panditas,1kg
,,,,Bolsa gomita,15pz
Serpiente,15,Serpientes,30,Serpientes,1kg
,,,,Bolsa gomita,15pz
Manzana con Chamoy,4, Manzana con Chamoy,30,Manzana,4pz
,,,,Pulparindo,5pz
